,child,condition,age,target_word,accuracy,response_type,is_near_distractor,is_random
902,95,black_white,3.547945205,book,0,Random,0,1
903,96,black_white,4.82739726,book,0,Near Distractor,1,0
905,98,object,3.901369863,book,0,Near Distractor,1,0
914,6,photo,4.235616438,bowl,0,Random,0,1
915,7,photo,3.117808219,bowl,0,Random,0,1
917,9,photo,4.268493151,bowl,0,Near Distractor,1,0
931,23,photo,5.060273973,bowl,0,Near Distractor,1,0
936,28,photo,5.64109589,bowl,0,Near Distractor,1,0
937,29,photo,3.994520548,bowl,0,Near Distractor,1,0
938,30,photo,5.6,bowl,0,Near Distractor,1,0
941,33,cartoon,4.682191781,bowl,0,Random,0,1
943,35,cartoon,3.983561644,bowl,0,Near Distractor,1,0
950,42,cartoon,4.391780822,bowl,0,Near Distractor,1,0
951,43,cartoon,4.391780822,bowl,0,Random,0,1
957,49,cartoon,4.610958904,bowl,0,Near Distractor,1,0
958,50,cartoon,4.024657534,bowl,0,Near Distractor,1,0
961,53,cartoon,4.290410959,bowl,0,Random,0,1
968,60,cartoon,6.430136986,bowl,0,Near Distractor,1,0
969,61,cartoon,6.575342466,bowl,0,Near Distractor,1,0
974,66,black_white,7.350684932,bowl,0,Near Distractor,1,0
978,70,black_white,7.164383562,bowl,0,Near Distractor,1,0
982,74,black_white,7.194520548,bowl,0,Near Distractor,1,0
984,76,black_white,6.873972603,bowl,0,Near Distractor,1,0
987,79,black_white,3.846575342,bowl,0,Near Distractor,1,0
988,80,black_white,4.057534247,bowl,0,Random,0,1
997,89,black_white,3.150684932,bowl,0,Random,0,1
998,90,black_white,3.063013699,bowl,0,Random,0,1
999,91,black_white,3.495890411,bowl,0,Near Distractor,1,0
1000,92,black_white,3.142465753,bowl,0,Random,0,1
1003,95,black_white,3.547945205,bowl,0,Random,0,1
1005,97,object,4.517808219,bowl,0,Near Distractor,1,0
1006,98,object,3.901369863,bowl,0,Near Distractor,1,0
1007,99,object,4.783561644,bowl,0,Near Distractor,1,0
1008,100,object,4.950684932,bowl,0,Near Distractor,1,0
1009,101,object,3.134246575,bowl,0,Near Distractor,1,0
1010,1,photo,6.854794521,box,0,Near Distractor,1,0
1013,4,photo,6.852054795,box,0,Near Distractor,1,0
1014,5,photo,7.24109589,box,0,Near Distractor,1,0
1015,6,photo,4.235616438,box,0,Near Distractor,1,0
1016,7,photo,3.117808219,box,0,Random,0,1
1018,9,photo,4.268493151,box,0,Random,0,1
1026,17,photo,5.252054795,box,0,Random,0,1
1029,20,photo,5.117808219,box,0,Random,0,1
1038,29,photo,3.994520548,box,0,Near Distractor,1,0
1040,31,photo,5.591780822,box,0,Near Distractor,1,0
1042,33,cartoon,4.682191781,box,0,Random,0,1
1044,35,cartoon,3.983561644,box,0,Near Distractor,1,0
1048,39,cartoon,4.263013699,box,0,Near Distractor,1,0
1049,40,cartoon,4.78630137,box,0,Near Distractor,1,0
1050,41,cartoon,3.978082192,box,0,Random,0,1
1052,43,cartoon,4.391780822,box,0,Random,0,1
1053,44,cartoon,4.835616438,box,0,Near Distractor,1,0
1054,45,cartoon,4.043835616,box,0,Near Distractor,1,0
1057,48,cartoon,4.454794521,box,0,Near Distractor,1,0
1058,49,cartoon,4.610958904,box,0,Near Distractor,1,0
1060,51,cartoon,4.994520548,box,0,Near Distractor,1,0
1061,52,cartoon,4.44109589,box,0,Random,0,1
1067,58,cartoon,7.99,box,0,Near Distractor,1,0
1068,59,cartoon,6.101369863,box,0,Near Distractor,1,0
1075,66,black_white,7.350684932,box,0,Near Distractor,1,0
1077,68,black_white,7.504109589,box,0,Random,0,1
1079,70,black_white,7.164383562,box,0,Random,0,1
1083,74,black_white,7.194520548,box,0,Near Distractor,1,0
1084,75,black_white,7.476712329,box,0,Near Distractor,1,0
1089,80,black_white,4.057534247,box,0,Random,0,1
1090,81,black_white,3.6,box,0,Random,0,1
1093,84,black_white,3.01369863,box,0,Random,0,1
1094,85,black_white,3.246575342,box,0,Random,0,1
1095,86,black_white,3.326027397,box,0,Near Distractor,1,0
1096,87,black_white,3.265753425,box,0,Random,0,1
1098,89,black_white,3.150684932,box,0,Random,0,1
1101,92,black_white,3.142465753,box,0,Random,0,1
1102,93,black_white,3.77260274,box,0,Random,0,1
1105,96,black_white,4.82739726,box,0,Near Distractor,1,0
1110,101,object,3.134246575,box,0,Near Distractor,1,0
1111,1,photo,6.854794521,shorts,0,Random,0,1
1112,2,photo,6.82739726,shorts,0,Random,0,1
1113,3,photo,7.150684932,shorts,0,Random,0,1
1114,4,photo,6.852054795,shorts,0,Random,0,1
1115,5,photo,7.24109589,shorts,0,Random,0,1
1116,6,photo,4.235616438,shorts,0,Random,0,1
1117,7,photo,3.117808219,shorts,0,Random,0,1
1118,8,photo,5.854794521,shorts,0,Random,0,1
1119,9,photo,4.268493151,shorts,0,Random,0,1
1120,10,photo,5.106849315,shorts,0,Random,0,1
1121,11,photo,5.109589041,shorts,0,Random,0,1
1122,12,photo,5.276712329,shorts,0,Random,0,1
1123,13,photo,5.630136986,shorts,0,Random,0,1
1124,14,photo,5.178082192,shorts,0,Random,0,1
1125,15,photo,5.969863014,shorts,0,Random,0,1
1127,17,photo,5.252054795,shorts,0,Random,0,1
1128,18,photo,5.21369863,shorts,0,Random,0,1
1129,19,photo,5.778082192,shorts,0,Random,0,1
1130,20,photo,5.117808219,shorts,0,Near Distractor,1,0
1131,21,photo,5.361643836,shorts,0,Random,0,1
1133,23,photo,5.060273973,shorts,0,Random,0,1
1134,24,photo,5.657534247,shorts,0,Random,0,1
1135,25,photo,5.97260274,shorts,0,Random,0,1
1136,26,photo,5.676712329,shorts,0,Random,0,1
1137,27,photo,5.531506849,shorts,0,Random,0,1
1138,28,photo,5.64109589,shorts,0,Random,0,1
1139,29,photo,3.994520548,shorts,0,Random,0,1
1140,30,photo,5.6,shorts,0,Random,0,1
1141,31,photo,5.591780822,shorts,0,Random,0,1
1142,32,photo,5.115068493,shorts,0,Random,0,1
1143,33,cartoon,4.682191781,shorts,0,Near Distractor,1,0
1144,34,cartoon,5.246575342,shorts,0,Random,0,1
1145,35,cartoon,3.983561644,shorts,0,Random,0,1
1146,36,cartoon,4.775342466,shorts,0,Random,0,1
1147,37,cartoon,4.279452055,shorts,0,Random,0,1
1148,38,cartoon,4.208219178,shorts,0,Random,0,1
1149,39,cartoon,4.263013699,shorts,0,Random,0,1
1150,40,cartoon,4.78630137,shorts,0,Random,0,1
1151,41,cartoon,3.978082192,shorts,0,Random,0,1
1152,42,cartoon,4.391780822,shorts,0,Random,0,1
1154,44,cartoon,4.835616438,shorts,0,Random,0,1
1155,45,cartoon,4.043835616,shorts,0,Random,0,1
1156,46,cartoon,4.797260274,shorts,0,Random,0,1
1158,48,cartoon,4.454794521,shorts,0,Random,0,1
1159,49,cartoon,4.610958904,shorts,0,Random,0,1
1160,50,cartoon,4.024657534,shorts,0,Random,0,1
1161,51,cartoon,4.994520548,shorts,0,Random,0,1
1162,52,cartoon,4.44109589,shorts,0,Random,0,1
1164,54,cartoon,7.673972603,shorts,0,Random,0,1
1165,55,cartoon,7.928767123,shorts,0,Random,0,1
1166,56,cartoon,7.98,shorts,0,Random,0,1
1167,57,cartoon,7.926027397,shorts,0,Random,0,1
1168,58,cartoon,7.99,shorts,0,Random,0,1
1169,59,cartoon,6.101369863,shorts,0,Random,0,1
1170,60,cartoon,6.430136986,shorts,0,Random,0,1
1172,62,cartoon,5.871232877,shorts,0,Random,0,1
1173,63,cartoon,7.717808219,shorts,0,Near Distractor,1,0
1174,64,cartoon,7.728767123,shorts,0,Random,0,1
1175,65,black_white,7.873972603,shorts,0,Random,0,1
1176,66,black_white,7.350684932,shorts,0,Random,0,1
1177,67,black_white,6.928767123,shorts,0,Random,0,1
1178,68,black_white,7.504109589,shorts,0,Random,0,1
1179,69,black_white,7.479452055,shorts,0,Random,0,1
1180,70,black_white,7.164383562,shorts,0,Random,0,1
1181,71,black_white,5.287671233,shorts,0,Random,0,1
1182,72,black_white,7.301369863,shorts,0,Random,0,1
1183,73,black_white,7.128767123,shorts,0,Random,0,1
1184,74,black_white,7.194520548,shorts,0,Random,0,1
1185,75,black_white,7.476712329,shorts,0,Random,0,1
1186,76,black_white,6.873972603,shorts,0,Random,0,1
1187,77,black_white,7.531506849,shorts,0,Random,0,1
1188,78,black_white,7.115068493,shorts,0,Random,0,1
1189,79,black_white,3.846575342,shorts,0,Random,0,1
1192,82,black_white,6.602739726,shorts,0,Near Distractor,1,0
1193,83,black_white,5.249315068,shorts,0,Random,0,1
1194,84,black_white,3.01369863,shorts,0,Random,0,1
1195,85,black_white,3.246575342,shorts,0,Random,0,1
1198,88,black_white,3.871232877,shorts,0,Random,0,1
1201,91,black_white,3.495890411,shorts,0,Random,0,1
1202,92,black_white,3.142465753,shorts,0,Random,0,1
1203,93,black_white,3.77260274,shorts,0,Random,0,1
1204,94,black_white,3.443835616,shorts,0,Random,0,1
1205,95,black_white,3.547945205,shorts,0,Near Distractor,1,0
1206,96,black_white,4.82739726,shorts,0,Random,0,1
1208,98,object,3.901369863,shorts,0,Random,0,1
1210,100,object,4.950684932,shorts,0,Random,0,1
1222,11,object,5.109589041,ball,0,Near Distractor,1,0
1233,22,object,5.287671233,ball,0,Near Distractor,1,0
1314,2,object,6.82739726,toothbrush,0,Random,0,1
1316,4,object,6.852054795,toothbrush,0,Near Distractor,1,0
1318,6,object,4.235616438,toothbrush,0,Random,0,1
